iter	Passed	Remaining
414	3004	4234
415	3010	4225
416	3016	4217
417	3022	4208
418	3029	4200
419	3035	4191
420	3043	4185
421	3049	4176
422	3055	4167
423	3062	4159
424	3068	4151
425	3076	4144
426	3082	4136
427	3090	4130
428	3096	4121
429	3102	4113
430	3108	4104
431	3114	4095
432	3121	4087
433	3126	4077
434	3132	4068
435	3140	4061
436	3146	4053
437	3153	4046
438	3160	4038
439	3166	4030
440	3173	4022
441	3179	4014
442	3186	4006
443	3192	3998
444	3199	3990
445	3206	3982
446	3213	3974
447	3219	3967
448	3226	3960
449	3233	3952
450	3239	3944
451	3245	3935
452	3252	3926
453	3258	3919
454	3264	3910
455	3271	3902
456	3277	3894
457	3284	3886
458	3291	3879
459	3299	3873
460	3307	3866
461	3314	3859
462	3320	3851
463	3328	3844
464	3335	3837
465	3340	3828
466	3347	3821
467	3354	3812
468	3360	3804
469	3367	3796
470	3373	3789
471	3379	3780
472	3385	3772
473	3393	3765
474	3399	3757
475	3406	3749
476	3412	3742
477	3418	3733
478	3426	3726
479	3432	3719
480	3442	3714
481	3449	3707
482	3460	3704
483	3467	3697
484	3474	3689
485	3482	3682
486	3489	3676
487	3498	3670
488	3505	3663
489	3512	3655
490	3520	3649
491	3527	3641
492	3533	3634
493	3542	3628
494	3552	3624
495	3559	3616
496	3566	3609
497	3573	3601
498	3581	3596
499	3589	3589
500	3596	3582
501	3602	3573
502	3609	3566
503	3617	3559
504	3623	3551
505	3629	3543
506	3635	3535
507	3641	3527
508	3649	3519
509	3655	3511
510	3661	3504
511	3669	3497
512	3676	3489
513	3684	3483
514	3689	3474
515	3695	3466
516	3702	3458
517	3707	3450
518	3714	3442
519	3721	3435
520	3727	3426
521	3734	3419
522	3740	3411
523	3746	3403
524	3753	3395
525	3758	3386
526	3764	3378
527	3769	3370
528	3775	3361
529	3783	3354
530	3790	3347
531	3796	3340
532	3804	3333
533	3810	3325
534	3817	3317
535	3824	3310
536	3834	3306
537	3841	3298
538	3850	3293
539	3858	3286
540	3864	3278
541	3870	3270
542	3880	3265
543	3889	3260
544	3896	3253
545	3904	3246
546	3911	3239
547	3918	3231
548	3925	3224
549	3933	3218
550	3939	3210
551	3946	3202
552	3954	3196
553	3962	3189
554	3969	3182
555	3976	3175
556	3984	3168
557	3991	3161
558	3999	3154
559	4005	3147
560	4014	3141
561	4022	3134
562	4030	3128
563	4036	3120
564	4042	3112
565	4048	3104
566	4055	3097
567	4064	3091
568	4070	3083
569	4077	3075
570	4084	3068
571	4090	3060
572	4096	3052
573	4105	3047
574	4112	3039
575	4119	3032
576	4125	3024
577	4132	3017
578	4138	3009
579	4144	3001
580	4152	2994
581	4158	2986
582	4165	2979
583	4172	2972
584	4178	2964
585	4185	2956
586	4191	2949
587	4198	2941
588	4206	2935
589	4213	2928
590	4219	2919
591	4225	2912
592	4232	2905
593	4239	2897
594	4246	2890
595	4253	2883
596	4259	2875
597	4266	2868
598	4274	2861
599	4281	2854
600	4288	2846
601	4294	2838
602	4301	2831
603	4306	2823
604	4314	2817
605	4322	2810
606	4329	2802
607	4336	2796
608	4343	2788
609	4351	2781
610	4363	2778
611	4373	2772
612	4380	2765
613	4389	2759
614	4399	2754
615	4406	2747
616	4413	2739
617	4419	2731
618	4430	2726
619	4436	2719
620	4444	2712
621	4450	2704
622	4457	2697
623	4464	2689
624	4469	2681
625	4475	2673
626	4480	2665
627	4486	2657
628	4492	2649
629	4498	2641
630	4506	2635
631	4513	2628
632	4519	2620
633	4525	2612
634	4530	2604
635	4536	2596
636	4542	2588
637	4550	2582
638	4556	2574
639	4562	2566
640	4568	2558
641	4574	2550
642	4579	2542
643	4585	2534
644	4591	2526
645	4598	2519
646	4604	2511
647	4609	2503
648	4614	2495
649	4621	2488
650	4626	2480
651	4633	2472
652	4639	2465
653	4644	2457
654	4651	2449
655	4656	2441
656	4661	2433
657	4667	2426
658	4673	2418
659	4680	2410
660	4687	2403
661	4692	2395
662	4698	2388
663	4705	2381
664	4711	2373
665	4716	2365
666	4722	2357
667	4728	2349
668	4733	2342
669	4739	2334
670	4745	2326
671	4751	2319
672	4757	2311
673	4763	2304
674	4770	2297
675	4778	2290
676	4784	2282
677	4792	2276
678	4799	2268
679	4806	2261
680	4812	2254
681	4819	2247
682	4826	2240
683	4833	2233
684	4849	2230
685	4855	2222
686	4862	2215
687	4869	2208
688	4878	2202
689	4885	2195
690	4891	2187
691	4898	2180
692	4907	2173
693	4914	2166
694	4920	2159
695	4925	2151
696	4932	2144
697	4941	2138
698	4948	2130
699	4956	2124
700	4962	2116
701	4970	2109
702	4976	2102
703	4983	2095
704	4989	2087
705	4997	2080
706	5002	2073
707	5008	2065
708	5014	2058
709	5020	2050
710	5025	2042
711	5031	2035
712	5038	2027
713	5046	2021
714	5054	2014
715	5061	2007
716	5067	2000
717	5076	1993
718	5082	1986
719	5090	1979
720	5096	1972
721	5102	1964
722	5110	1957
723	5117	1951
724	5123	1943
725	5132	1936
726	5140	1930
727	5148	1923
728	5154	1916
729	5160	1908
730	5166	1901
731	5173	1894
732	5181	1887
733	5189	1880
734	5194	1872
735	5200	1865
736	5207	1858
737	5213	1850
738	5219	1843
739	5224	1835
740	5230	1828
741	5237	1821
742	5244	1814
743	5252	1807
744	5258	1799
745	5266	1793
746	5273	1785
747	5278	1778
748	5284	1771
749	5291	1763
750	5299	1756
751	5306	1749
752	5312	1742
753	5318	1735
754	5324	1727
755	5329	1720
756	5335	1712
757	5342	1705
758	5348	1698
759	5353	1690
760	5359	1683
761	5365	1675
762	5371	1668
763	5376	1660
764	5382	1653
765	5388	1646
766	5394	1638
767	5400	1631
768	5405	1623
769	5411	1616
770	5417	1608
771	5423	1601
772	5428	1594
773	5434	1586
774	5439	1579
775	5445	1571
776	5451	1564
777	5458	1557
778	5464	1550
779	5469	1542
780	5475	1535
781	5481	1528
782	5487	1520
783	5493	1513
784	5498	1505
785	5504	1498
786	5511	1491
787	5517	1484
788	5523	1477
789	5530	1470
790	5535	1462
791	5541	1455
792	5548	1448
793	5554	1441
794	5562	1434
795	5568	1427
796	5575	1420
797	5581	1412
798	5587	1405
799	5593	1398
800	5599	1391
801	5605	1383
802	5610	1376
803	5616	1369
804	5622	1361
805	5628	1354
806	5633	1347
807	5639	1340
808	5645	1332
809	5652	1325
810	5659	1319
811	5666	1311
812	5673	1304
813	5678	1297
814	5685	1290
815	5690	1283
816	5696	1275
817	5702	1268
818	5708	1261
819	5714	1254
820	5720	1247
821	5727	1240
822	5734	1233
823	5739	1225
824	5745	1218
825	5751	1211
826	5757	1204
827	5763	1197
828	5768	1189
829	5775	1182
830	5781	1175
831	5786	1168
832	5792	1161
833	5798	1154
834	5803	1146
835	5809	1139
836	5815	1132
837	5820	1125
838	5826	1118
839	5832	1110
840	5839	1103
841	5845	1096
842	5850	1089
843	5856	1082
844	5862	1075
845	5869	1068
846	5875	1061
847	5883	1054
848	5890	1047
849	5896	1040
850	5903	1033
851	5910	1026
852	5917	1019
853	5923	1012
854	5930	1005
855	5937	998
856	5943	991
857	5949	984
858	5956	977
859	5962	970
860	5967	963
861	5974	956
862	5981	949
863	5986	942
864	5993	935
865	6002	928
866	6009	921
867	6016	914
868	6022	907
869	6028	900
870	6035	893
871	6042	886
872	6048	879
873	6054	872
874	6059	865
875	6065	858
876	6071	851
877	6077	844
878	6083	837
879	6091	830
880	6098	823
881	6105	816
882	6110	809
883	6116	802
884	6122	795
885	6130	788
886	6135	781
887	6141	774
888	6147	767
889	6154	760
890	6159	753
891	6165	746
892	6171	739
893	6176	732
894	6182	725
895	6188	718
896	6194	711
897	6200	704
898	6205	697
899	6211	690
900	6216	683
901	6222	676
902	6228	669
903	6235	662
904	6241	655
905	6246	648
906	6252	641
907	6258	634
908	6263	627
909	6269	620
910	6275	613
911	6283	606
912	6289	599
913	6295	592
914	6300	585
915	6306	578
916	6311	571
917	6317	564
918	6323	557
919	6328	550
920	6334	543
921	6340	536
922	6345	529
923	6351	522
924	6358	515
925	6364	508
926	6370	501
927	6375	494
928	6381	487
929	6387	480
930	6392	473
931	6399	466
932	6404	459
933	6413	453
934	6418	446
935	6424	439
936	6429	432
937	6436	425
938	6442	418
939	6448	411
940	6455	404
941	6461	397
942	6467	390
943	6474	384
944	6480	377
945	6486	370
946	6492	363
947	6498	356
948	6504	349
949	6509	342
950	6515	335
951	6521	328
952	6527	321
953	6533	315
954	6539	308
955	6544	301
956	6550	294
957	6557	287
958	6563	280
959	6568	273
960	6581	267
961	6589	260
962	6595	253
963	6603	246
964	6609	239
965	6616	232
966	6621	225
967	6627	219
968	6634	212
969	6640	205
970	6645	198
971	6651	191
972	6658	184
973	6664	177
974	6669	171
975	6674	164
976	6680	157
977	6686	150
978	6693	143
979	6700	136
980	6706	129
981	6712	123
982	6718	116
983	6725	109
984	6731	102
985	6737	95
986	6743	88
987	6749	81
988	6756	75
989	6761	68
990	6767	61
991	6773	54
992	6779	47
993	6785	40
994	6793	34
995	6799	27
996	6805	20
997	6812	13
998	6819	6
999	6825	0
